Visibility Range(in kms),Visibility Condition,Efficiency,Pointing Angle,Pointing Loss(in dB),Effective Power(in dB),SNR (in dB)
0.1,Heavy Fog,0.85,6.190427072231428,9.765691521149084e-11,-356.3323057117431,-419.21447730783547
0.12000000000000001,Heavy Fog,0.85,3.396867295252891,2.940484806615224e-11,-300.94063904501843,-354.0478106411688
0.14,Heavy Fog,0.85,1.2795279137329676,4.172163389382252e-12,-261.3751628545208,-307.50019159354974
0.16,Heavy Fog,0.85,9.72599027346125,2.410623800873991e-10,-231.70105571186505,-272.58947730783547
0.18,Heavy Fog,0.85,7.038183159623118,1.2623590780454662e-10,-208.62119460065637,-245.43669953005772
0.2,Heavy Fog,0.85,2.5966983668608727,1.71832293957177e-11,-190.15730571167475,-223.71447730783547
0.22,Heavy Fog,0.85,6.454453281829852,1.0616483807426144e-10,-175.0504875299322,-205.9417500351082
0.24000000000000002,Heavy Fog,0.85,1.614364180876443,6.641479008252975e-12,-162.46147237833242,-191.1311439745021
0.26,Heavy Fog,0.85,7.61784099335178,1.4788549699502854e-10,-151.8092287887089,-178.59909269245082
0.28,Heavy Fog,0.85,8.500669754291263,1.8414844979894827e-10,-142.6787342832452,-167.85733445069258
0.30000000000000004,Heavy Fog,0.85,2.3917871301188414,1.4578298139613388e-11,-134.76563904500586,-158.54781064116878
0.32,Heavy Fog,0.85,8.122660453786459,1.681350961307476e-10,-127.84168071180306,-150.40197730783547
0.33999999999999997,Heavy Fog,0.85,9.009912506075096,2.068725775458262e-10,-121.73230571183602,-143.2144773078355
0.36,Heavy Fog,0.85,6.999151476145903,1.2483965610491293e-10,-116.30175015621069,-136.82558841894658
0.38,Heavy Fog,0.85,5.916618783952997,8.920905816974353e-11,-111.44283202752544,-131.10921414994073
0.4,Heavy Fog,0.85,7.905338912120392,1.592585529074344e-10,-107.06980571179551,-125.96447730783547
0.42000000000000004,Heavy Fog,0.85,1.9952024490279174,1.0144618435576035e-11,-103.11325809262114,-121.30971540307355
0.44000000000000006,Heavy Fog,0.85,3.5097270578481767,3.139123962010223e-11,-99.51639662077773,-117.07811367147181
0.45999999999999996,Heavy Fog,0.85,6.496761127680583,1.0756118452328521e-10,-96.23230571175158,-113.21447730783548
0.48,Heavy Fog,0.85,8.737368692142821,1.9454635688786145e-10,-93.22188904515885,-109.67281064116881
0.5,Heavy Fog,0.85,4.346307089736239,4.813961303478477e-11,-90.45230571170107,-106.41447730783547
0.52,Heavy Fog,0.85,8.439892387530069,1.8152464527958885e-10,-46.19616162860728,-54.34842544523881
0.54,Heavy Fog,0.85,5.773674384237139,8.495058097270133e-11,-44.934723933701775,-52.864381098387724
0.56,Heavy Fog,0.85,8.003611119753163,1.63242687565002e-10,-43.77206478078186,-51.4965468007566
0.58,Heavy Fog,0.85,7.124889991662712,1.2936539079605551e-10,-42.69779390559569,-50.23269871233615
0.6,Heavy Fog,0.85,8.339080078616895,1.7721401573425256e-10,-41.70290981865314,-49.06224684529707
0.62,Heavy Fog,0.85,9.903301682823907,2.4993196089368514e-10,-40.77957574114516,-47.97597145992084
0.64,Heavy Fog,0.85,7.183214852538867,1.3149204854909208e-10,-39.9209375548042,-46.96580888787344
0.66,Heavy Fog,0.85,7.442993348330812,1.411747541463103e-10,-39.1209748535923,-46.02467629820271
0.6799999999999999,Heavy Fog,0.85,2.385083709789144,1.4496695965601003e-11,-38.374378280160684,-45.14632738840984
0.7,Heavy Fog,0.85,5.299320067319471,7.15652313939005e-11,-37.6764478932799,-44.32523281555185
0.72,Heavy Fog,0.85,9.919906762218435,2.5077079616328325e-10,-37.02300847348157,-43.55648055678637
0.74,Heavy Fog,0.85,8.73330720343684,1.9436553261169733e-10,-36.41033856472831,-42.835692428897765
0.76,Heavy Fog,0.85,2.6819217004794456,1.832964133662442e-11,-35.83511072162248,-42.158953790125764
0.78,Light Fog,0.85,4.262274996544948,4.62961323778519e-11,-35.29434094952526,-41.52275405821871
0.8,Light Fog,0.85,6.853536819700569,1.196992085769281e-10,-34.785345729173905,-40.9239361518496
0.82,Light Fog,0.85,9.690443585677512,2.3930352367779757e-10,-34.30570533229528,-40.35965333187279
0.84,Light Fog,0.85,3.4347289624170796,3.006399722720816e-11,-33.853232377755276,-39.82733220909379
0.86,Light Fog,0.85,7.378167982144141,1.3872631681981849e-10,-33.42594477759743,-39.32464091468178
0.88,Light Fog,0.85,6.195396322607034,9.781376268981569e-11,-33.022042370178234,-38.84946161187658
0.9,Light Fog,0.85,6.321354648042626,1.0183148825329938e-10,-32.63988667269707,-38.399866673659425
0.92,Light Fog,0.85,7.726346025499142,1.521283261205285e-10,-32.277983273359865,-37.97409796850654
0.94,Light Fog,0.85,6.179483865009008,9.731195184753977e-11,-31.93496647269012,-37.57054879130283
0.96,Light Fog,0.85,4.034174595252283,4.147354498497464e-11,-31.609585845635635,-37.18774805364751
0.98,Light Fog,0.85,9.604386003262201,2.3507204782346336e-10,-31.30069444935095,-36.82434641076605
